Document,Question,Answer
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is the operational process one of the contributing factors to this accident?,The invest
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,No.
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,No
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,No
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No.
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is routine violation one of the contributing factors to this accident?,No.
Report_CEN20LA400_101992_2_1_2025 8_28_40 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,Yes
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,Yes
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",The inform
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The inform
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The inform
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Are skill-based errors contributing factors to this accident?,Skill-base
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is perceptual error one of the contributing factors to this accident?,"Yes, perce"
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is routine violation one of the contributing factors to this accident?,The inform
Report_CEN21FA330_103513_2_1_2025 8_27_58 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,Yes
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The inform
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"Yes, the f"
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is the physiological state one of the contributing factors to this accident?,The invest
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The invest
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, the a"
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is perceptual error one of the contributing factors to this accident?,Yes
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is routine violation one of the contributing factors to this accident?,The inform
Report_CEN21FA410_103836_2_1_2025 8_27_42 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"Yes, the p"
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is the physiological state one of the contributing factors to this accident?,Yes
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,Yes
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,No
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is perceptual error one of the contributing factors to this accident?,Perceptual
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN21LA084_102399_2_1_2025 8_28_35 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The inform
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The invest
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The availa
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The invest
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is routine violation one of the contributing factors to this accident?,There is n
Report_CEN21LA102_102472_2_1_2025 8_28_33 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"No, not be"
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,There is n
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, the a"
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is perceptual error one of the contributing factors to this accident?,The invest
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN21LA225_103107_2_1_2025 8_28_07 PM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is the operational process issue one of the contributing factors to this accident?,No.
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN22FA053_104326_2_1_2025 8_27_29 PM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
