Document,Question,Answer
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The invest
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The invest
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,Yes
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is perceptual error one of the contributing factors to this accident?,"Yes, perce"
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is routine violation one of the contributing factors to this accident?,The inform
Report_ANC12FA084_84608_2_2_2025 10_22_47 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"Yes, the p"
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is the physiological state one of the contributing factors to this accident?,"Yes, the p"
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,"Yes, physi"
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"No, decisi"
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_ANC14FA030_89299_2_2_2025 10_19_45 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,Yes
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,Yes
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,Yes
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,Yes
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?","Yes, commu"
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"Yes, the b"
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,"Yes, physi"
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Are skill-based errors contributing factors to this accident?,"Yes, skill"
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is perceptual error one of the contributing factors to this accident?,"Yes, perce"
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is routine violation one of the contributing factors to this accident?,"Yes, routi"
Report_ANC16FA023_93116_2_2_2025 10_11_56 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"No, not be"
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The invest
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,Yes
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is perceptual error one of the contributing factors to this accident?,The invest
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN12FA139_82704_2_2_2025 10_23_04 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,Yes
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,Yes
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The contri
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"No, the co"
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,Mental sta
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The contri
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No.
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is routine violation one of the contributing factors to this accident?,No
Report_CEN12FA321_83774_2_2_2025 10_22_58 AM.pdf,Is exceptional error one of the contributing factors to this accident?,No
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The invest
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is the physiological state one of the contributing factors to this accident?,The invest
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,There is n
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The invest
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN12FA621_84993_2_2_2025 10_22_43 AM.pdf,Is exceptional error one of the contributing factors to this accident?,No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,Yes
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"No, not be"
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is the physiological state one of the contributing factors to this accident?,"Yes, the p"
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN13FA003_85252_2_2_2025 10_22_34 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The invest
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"No, not be"
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,Physical o
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN13FA009_85294_2_2_2025 10_22_29 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",Yes
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"Yes, the p"
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is the physiological state one of the contributing factors to this accident?,"Yes, the p"
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The invest
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The contri
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is perceptual error one of the contributing factors to this accident?,The probab
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN13FA010_85313_2_2_2025 10_22_25 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,Yes
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,Yes
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?","Yes, commu"
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The contri
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,There is n
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No.
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is routine violation one of the contributing factors to this accident?,No
Report_CEN13FA075_85681_2_2_2025 10_22_03 AM.pdf,Is exceptional error one of the contributing factors to this accident?,No
Report_CEN13FA096_85778_2_2_2025 10_21_54 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN13FA096_85778_2_2_2025 10_21_54 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN13FA096_85778_2_2_2025 10_21_54 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN13FA096_85778_2_2_2025 10_21_54 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN13FA096_85778_2_2_2025 10_21_54 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN13FA096_85778_2_2_2025 10_21_54 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN13FA096_85778_2_2_2025 10_21_54 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
