Document,Question,Answer
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,There is n
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,There is n
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is routine violation one of the contributing factors to this accident?,The inform
Report_WPR20FA013_100481_2_2_2025 10_01_07 AM.pdf,Is exceptional error one of the contributing factors to this accident?,The contri
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,Yes
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"No, not be"
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,The mental
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is the physiological state one of the contributing factors to this accident?,"No, the ph"
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,"No, physic"
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, the p"
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Are skill-based errors contributing factors to this accident?,"Yes, skill"
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is perceptual error one of the contributing factors to this accident?,Perceptual
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is routine violation one of the contributing factors to this accident?,"Yes, the f"
Report_WPR20FA016_100492_2_2_2025 10_00_57 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The contri
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The contri
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN17FA355_96024_2_2_2025 10_03_36 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The inform
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",The physic
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,No.
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is the physiological state one of the contributing factors to this accident?,No.
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The inform
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,"Yes, decis"
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Are skill-based errors contributing factors to this accident?,Yes
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN18FA001_96118_2_2_2025 10_03_33 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No.
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is the operational process one of the contributing factors to this accident?,The invest
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",Communicat
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,No
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The invest
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,Decision e
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Are skill-based errors contributing factors to this accident?,Skill-base
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is perceptual error one of the contributing factors to this accident?,Perceptual
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is routine violation one of the contributing factors to this accident?,No.
Report_CEN18FA033_96342_2_2_2025 10_03_07 AM.pdf,Is exceptional error one of the contributing factors to this accident?,Exceptiona
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,The inform
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No.
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"No, not be"
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is the physiological state one of the contributing factors to this accident?,The physio
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The invest
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,Yes
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is perceptual error one of the contributing factors to this accident?,"Yes, perce"
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is routine violation one of the contributing factors to this accident?,The contri
Report_CEN18FA035_96350_2_2_2025 10_03_04 AM.pdf,Is exceptional error one of the contributing factors to this accident?,No
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,Yes
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No.
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",Yes
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is the operational process one of the contributing factors to this accident?,"Yes, the o"
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No.
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,The inform
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is the physiological state one of the contributing factors to this accident?,No
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,The inform
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The inform
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is perceptual error one of the contributing factors to this accident?,No
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is routine violation one of the contributing factors to this accident?,The inform
Report_CEN18FA074_96607_2_2_2025 10_03_01 AM.pdf,Is exceptional error one of the contributing factors to this accident?,There is n
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,No.
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No.
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Are tool or technology issues contributing factors to this accident?,No
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is the operational process one of the contributing factors to this accident?,The operat
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,"Are communication, coordination, or planning problems contributing factors to this accident?",No
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is not being fit for duty or responsibility one of the contributing factors to this accident?,"Yes, not b"
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Are mental state or mental problems one of the contributing factors to this accident?,No
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is the physiological state one of the contributing factors to this accident?,"Yes, the p"
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Are physical or mental limitations one of the contributing factors to this accident?,"Yes, physi"
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is decision error or making a wrong decision one of the contributing factors to this accident?,The invest
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Are skill-based errors contributing factors to this accident?,No
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is perceptual error one of the contributing factors to this accident?,Perceptual
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is routine violation one of the contributing factors to this accident?,Routine vi
Report_CEN18FA149_97118_2_2_2025 10_02_43 AM.pdf,Is exceptional error one of the contributing factors to this accident?,No
Report_CEN18FA182_97282_2_2_2025 10_02_35 AM.pdf,Is the lack of organizational culture one of the contributing factors to this accident?,No
Report_CEN18FA182_97282_2_2_2025 10_02_35 AM.pdf,Is the operational process issue one of the contributing factors to this accident?,Yes
Report_CEN18FA182_97282_2_2_2025 10_02_35 AM.pdf,Is the resource management problem one of the contributing factors to this accident?,No.
Report_CEN18FA182_97282_2_2_2025 10_02_35 AM.pdf,Is the inadequate supervision one of the contributing factors to this accident?,No
Report_CEN18FA182_97282_2_2_2025 10_02_35 AM.pdf,Is the planned inappropriate operations one of the contributing factors to this accident?,No.
Report_CEN18FA182_97282_2_2_2025 10_02_35 AM.pdf,Is the failure to correct known problems one of the contributing factors to this accident?,No
Report_CEN18FA182_97282_2_2_2025 10_02_35 AM.pdf,Is the supervisory violation one of the contributing factors to this accident?,No.
Report_CEN18FA182_97282_2_2_2025 10_02_35 AM.pdf,"Are physical environment factors like wind, rain, or snow contributing factors to this accident?",No
