"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"ERA21FA317","ACC","103652","2021-08-07T18:00:00Z","Argyle","New York","United States","","N162KJ","FALSE","DirectorBrief","2023-08-30T04:00:00Z","Fatal","2","0","0","The pilot’s abrupt control inputs, which resulted in a lowG condition, main rotor mast bumping, and the subsequent severing of the tail boom by a main rotor blade.","","43.210144","-73.506795","ROTORWAY","Exec 162F","HELI","","","TRUE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103652","8/30/2023 5:00:00 PM",
"WPR21FA300","ACC","103602","2021-08-01T12:51:00Z","Colusa","California","United States","","N7000J","FALSE","DirectorBrief","2023-09-07T04:00:00Z","Fatal","4","0","0","The pilot’s abrupt flight control input that led to mast bumping and a subsequent in-flight breakup.","","39.296803","-122.03939","ROBINSON HELICOPTER CO","R66","HELI","","","FALSE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103602","9/7/2023 5:00:00 PM",
"ERA21LA295","ACC","103522","2021-07-19T18:48:00Z","Point Harbor","North Carolina","United States","","N4529J","FALSE","DirectorBrief","2023-06-08T04:00:00Z","Fatal","2","0","0","The noncertificated pilot’s decision to continue visual flight rules flight into instrument meteorological conditions, which resulted in spatial disorientation over a large body of water and a high velocity impact with the water. Contributing to the accident was the flight instructor’s inadequate oversight during their initial training and improperly signing off the student for solo flight when he lacked the proper student pilot and medical certificate.","","36.029491","-75.991991","ROBINSON HELICOPTER COMPANY","R44 II","HELI","","","FALSE","1","","PERS","091","Destroyed","IMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103522","6/8/2023 5:00:00 PM",
"CEN21FA330","ACC","103513","2021-07-19T16:00:00Z","Elgin","Minnesota","United States","","N44BJ","FALSE","DirectorBrief","2023-09-20T04:00:00Z","Fatal","1","0","0","The pilot’s decision to operate the helicopter under powerlines, which resulted in a main rotor blade striking a powerline, causing the helicopter to descend from a low altitude and impact terrain.","","44.108056","-92.204167","ROBINSON","R44","HELI","","","FALSE","1","","AAPL","137","Destroyed","VMC","Skyhawk Aviation","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103513","9/20/2023 5:00:00 PM",
"ERA21LA269","ACC","103346","2021-06-25T16:50:00Z","Alpine","Alabama","United States","","N372NS","FALSE","DirectorBrief","2023-08-30T04:00:00Z","Fatal","1","0","0","The pilot’s failure to maintain clearance from powerlines during a low-level aerial application flight, resulting in main rotor blade impact with a fiber-optic cable, a loss of control, and the helicopter’s subsequent impact with terrain.","","33.256369","-86.251594","GARLICK HELICOPTERS INC","OH-58A+","HELI","","","FALSE","1","","AAPL","137","Substantial","VMC","EWING FLYING SERVICE LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103346","8/30/2023 5:00:00 PM",
"ERA21FA233","ACC","103146","2021-05-25T17:47:00Z","Leesburg","Florida","United States","","N9FH","FALSE","DirectorBrief","2023-04-19T04:00:00Z","Fatal","4","0","0","The failure of the water tank snorkel support structure, which allowed the snorkel to contact the main rotor blades. Contributing to the accident was insufficient Federal Aviation Administration oversight of the supplemental type certificate process for the water tank and snorkel.","","28.817965","-81.80863","BHI H60 HELICOPTERS LLC","UH-60A","HELI","LEE","LEESBURG INTL","FALSE","2","","FLTS","091","Destroyed","VMC","BRAINERD HELICOPTERS INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103146","4/19/2023 5:00:00 PM",
"CEN21LA225","ACC","103107","2021-05-18T14:30:00Z","Ulysses","Kansas","United States","","N176SJ","FALSE","DirectorBrief","2022-12-06T05:00:00Z","Fatal","1","0","0","The pilot’s failure to maintain clearance from  a power line during the aerial application flight, which resulted in collision with the power line and subsequent impact with terrain.","","37.565617","-101.37033","BELL","OH58A","HELI","n/a","","FALSE","1","","AAPL","137","Destroyed","VMC","TRI-ROTOR CROP SERVICES LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103107","11/7/2022 5:00:00 AM",
"ERA21FA200","ACC","103009","2021-05-02T13:18:00Z","Wingate","North Carolina","United States","","N4528T","FALSE","DirectorBrief","2023-01-19T05:00:00Z","Fatal","1","0","0","The pilot’s failure to maintain clearance from a power line during a low-level aerial application flight, resulting in tail rotor impact with the power line, a loss of control, and subsequent impact with the ground.","","34.882269","-80.435991","ROBINSON HELICOPTER","R44","HELI","","","FALSE","1","","AAPL","137","Substantial","VMC","KRITTER CROPDUSTING INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=103009","1/19/2023 10:30:00 PM",
"ERA21FA195","ACC","102994","2021-04-28T13:24:00Z","Eden","North Carolina","United States","","N53DE","FALSE","DirectorBrief","2023-08-30T04:00:00Z","Fatal","1","2","0","The impact of the main rotor blades with the tail boom during low-altitude maneuvers, which severed the tail rotor drive shaft and resulted in a loss of control and impact with terrain.","","36.497132","-79.718455","BELL HELICOPTER TEXTRON CANADA","429","HELI","","","FALSE","2","","AOBV","091","Destroyed","VMC","DUKE ENERGY BUSINESS SERVICES LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=102994","8/30/2023 5:00:00 PM",
"ERA21LA191","ACC","102968","2021-04-22T21:04:00Z","Forkston","Pennsylvania","United States","","N4055N","FALSE","DirectorBrief","2023-02-24T05:00:00Z","Fatal","1","0","0","The pilot’s inadequate preflight weather planning, which resulted in an inadvertent encounter with instrument meteorological conditions at night, spatial disorientation, and collision with terrain.","","41.48899","-76.18394","ROBINSON HELICOPTER","R44","HELI","","","FALSE","1","","PERS","091","Destroyed","Unknown","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=102968","2/24/2023 7:00:00 PM",
"WPR21FA143","ACC","102813","2021-03-27T18:36:00Z","Palmer","Alaska","United States","","N351SH","FALSE","DirectorBrief","2023-09-27T04:00:00Z","Fatal","5","1","0","The pilot’s failure to adequately respond to an encounter with whiteout conditions, which resulted in the helicopter’s collision with terrain. Contributing to the accident was the (1) operator’s inadequate pilot training program and pilot competency checks, which failed to evaluate pilot skill during an encounter with inadvertent instrument meteorological conditions, and (2) the Federal Aviation Administration principal operations inspector’s insufficient oversight of the operator, including their approval of the operator’s pilot training program without ensuring that it met requirements. Contributing to the severity of the surviving passenger’s injuries was the delayed notification of search and rescue organizations.","","61.451718","-148.36552","Airbus Helicopters","AS350-B3","HELI","","","FALSE","1","NSCH","OWRK","135","Substantial","VMC","Soloy Helicopters LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=102813","9/27/2023 6:00:00 PM",
"ANC21LA020","ACC","102702","2021-03-02T16:39:00Z","Kodiak","Alaska","United States","","N1767","FALSE","DirectorBrief","2022-09-14T04:00:00Z","Fatal","1","0","0","An impact with ocean waters for reasons that could not be determined based on the available information.","","58.872527","-152.13761","ROBINSON HELICOPTER CO","R66","HELI","","","FALSE","1","","PERS","091","Destroyed","Unknown","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=102702","8/24/2022 11:00:00 AM",
"ERA21FA130","ACC","102634","2021-02-15T16:14:00Z","St Thomas","Caribbean Sea","United States","","N13AT","FALSE","DirectorBrief","2023-01-19T05:00:00Z","Fatal","4","0","0","A total loss of engine power due to fatigue failure of two of the stage 3 compressor blades. Contributing to the failure of the compressor blades was the failure of maintenance personnel to inspect the compressor at the recommended interval for operation in corrosive environments.","","18.354444","-65.027778","BELL","206","HELI","","","FALSE","1","","AOBV","091","Destroyed","VMC","Caribbean Buzz Management LLC.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=102634","1/12/2023 5:00:00 AM",
"CEN21LA102","ACC","102472","2020-12-29T09:35:00Z","Tuckers Crossing","Mississippi","United States","","N103SU","FALSE","DirectorBrief","2022-12-07T05:00:00Z","Fatal","1","0","0","The pilot’s loss of helicopter control when the external saw contacted trees during an attempted emergency landing due to a main rotor transmission oil pressure warning. The reason that the pilot did not release the external saw from the helicopter during the attempted emergency landing could not be determined based on the available evidence.","","31.611861","-89.086611","HUGHES","369D","HELI","","","FALSE","1","","EXLD","133","Destroyed","VMC","SIGNATURE PROPERTY HOLDINGS LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=102472","11/18/2022 7:00:00 PM",
"CEN21LA084","ACC","102399","2020-12-10T10:30:00Z","Colorado City","Texas","United States","","N7085Z","FALSE","DirectorBrief","2023-02-08T05:00:00Z","Fatal","2","0","0","The pilot’s loss of control and exceedance of performance and/or structural limitations during low-altitude operations, which resulted in an inflight breakup.. Contributing to the accident was the pilot’s impairment from the effects of tetrahydrocannabinol.","","32.315621","-100.94719","ROBINSON","R44","HELI","","","FALSE","1","","BUS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=102399","2/8/2023 7:00:00 PM",
"CEN20LA400","ACC","101992","2020-09-19T13:56:00Z","Red Bud","Illinois","United States","","N60WD","FALSE","DirectorBrief","2022-06-28T04:00:00Z","Fatal","1","0","0","A loss of control for reasons that could not be determined.","","38.211666","-90.014999","Safari","S","HELI","PVT","N/A","TRUE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101992","6/15/2022 7:00:00 PM",
"WPR20LA283","ACC","101856","2020-08-24T18:00:00Z","Pine Grove","Oregon","United States","","N314","FALSE","DirectorBrief","2023-04-26T04:00:00Z","Fatal","1","0","0","An in-flight breakup resulting from contact of the left rotor system with the right rotor system after an in-flight failure of a servo flap from a left rotor blade.","","45.170326","-121.54867","Kaman","K 1200","HELI","","","FALSE","1","","FIRF","133","Substantial","VMC","Central Copters Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101856","4/26/2023 5:00:00 PM",
"WPR20LA280","ACC","101831","2020-08-19T09:45:00Z","Coalinga","California","United States","","N711GH","FALSE","DirectorBrief","2023-06-14T04:00:00Z","Fatal","1","0","0","The pilot’s inability to maintain control of the helicopter due to a hydraulic system failure for reasons that could not be fully determined due to the thermal destruction from the postimpact fire.","","35.969165","-120.3225","Arrow-Falcon Exporters, Inc.","UH-1H","HELI","","","FALSE","1","","FIRF","PUBU","Destroyed","VMC","Guardian Helicopters Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101831","6/14/2023 5:00:00 PM",
"CEN20LA328","ACC","101760","2020-08-08T11:00:00Z","Marathon","Texas","United States","","N284S","FALSE","DirectorBrief","2023-06-14T04:00:00Z","Fatal","3","1","0","The in-flight loss of helicopter control for reasons that could not be determined based on the available evidence.","","30.191667","-103.21028","Bell","206","HELI","","","FALSE","1","","OWRK","091","Destroyed","VMC","Southwest Heliservices Llc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101760","3/4/2022 5:00:00 PM",
"ERA20LA273","ACC","101730","2020-08-03T19:41:00Z","Knoxville","Tennessee","United States","","N55GJ","FALSE","DirectorBrief","2022-06-28T04:00:00Z","Fatal","1","0","0","The pilot's entry into vortex ring state and his inability to arrest the helicopter's descent while maneuvering for landing.","","35.945278","-83.95639","Eurocopter","EC130","HELI","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101730","6/23/2022 4:00:00 AM",
"CEN20LA304","ACC","101666","2020-07-24T13:16:00Z","Monrovia","Indiana","United States","","N383ES","FALSE","DirectorBrief","2022-08-16T04:00:00Z","Fatal","1","0","0","The pilot’s loss of control after takeoff for reasons that could not be determined based on the available information.","","39.570869","-86.500274","Brantly","B2B","HELI","PVT","Private","FALSE","1","NSCH","FLTS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101666","7/26/2022 4:00:00 AM",
"WPR20LA224","ACC","101619","2020-07-17T08:54:00Z","Mehama","Oregon","United States","","N2297W","FALSE","DirectorBrief","2022-09-07T04:00:00Z","Fatal","1","0","0","An in-flight separation of a tail rotor blade due to fatigue cracking and overstress, which resulted in a loss of directional control and subsequent ground impact.","","44.794723","-122.61916","Hiller","UH 12D","HELI","","","FALSE","1","","AAPL","137","Destroyed","VMC","Western Helicopter Service Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101619","8/30/2022 11:00:00 AM",
"WPR20LA211","ACC","101560","2020-07-07T12:13:00Z","Payson","Arizona","United States","","N623PB","FALSE","DirectorBrief","2022-09-14T04:00:00Z","Fatal","1","0","0","A flight control malfunction due to either a hydraulic hardover or a flight control stiffness event, which resulted in a loss of control.","","34.271945","-111.52749","BELL","UH1H","HELI","","","FALSE","1","","EXLD","133","Destroyed","VMC","Airwest Helicopters LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101560","9/7/2022 11:00:00 AM",
"WPR20LA191","ACC","101480","2020-06-23T17:01:00Z","Hayden","Idaho","United States","","N280MM","FALSE","DirectorBrief","2022-08-16T04:00:00Z","Fatal","1","1","0","The total loss of power while maneuvering at low altitude due to the detonation of two engine cylinders and damaged spark plugs.","","47.775001","-116.89555","Enstrom","280","HELI","","","FALSE","1","","INST","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101480","7/28/2022 2:00:00 PM",
"ERA20LA220","ACC","101458","2020-06-18T17:00:00Z","Pikeville","North Carolina","United States","","N4QW","FALSE","DirectorBrief","2022-09-07T04:00:00Z","Fatal","1","0","0","The pilot’s failure to see and avoid a small diameter wire during low altitude agricultural spraying operations. Contributing to the accident was the pilot’s insufficient property survey.","","35.444721","-77.925003","Robinson","R66","HELI","","","FALSE","1","NSCH","AAPL","137","Substantial","VMC","KRITTER CROPDUSTING INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101458","8/31/2022 7:00:00 PM",
"WPR20LA163","ACC","101367","2020-06-02T12:50:00Z","Fairfield","California","United States","","N65PJ","FALSE","DirectorBrief","2023-03-22T04:00:00Z","Fatal","3","0","0","The pilot’s failure to maintain adequate clearance from powerlines while conducting external load operations, which resulted in the main rotor contacting a wire and a subsequent collision with terrain.","","38.309722","-122.03388","Bell","206","HELI","","","FALSE","1","","EXLD","133","Substantial","VMC","P J Helicopters Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101367","3/22/2023 5:00:00 PM",
"ERA20LA197","ACC","101340","2020-05-30T11:32:00Z","Ozark","Alabama","United States","","N9421P","FALSE","DirectorBrief","2022-07-12T04:00:00Z","Fatal","1","0","0","A total loss of engine power due to fuel exhaustion. Contributing to the accident was the flight school’s inadequate maintenance of the helicopter’s fuel quantity and caution systems.","","31.441389","-85.638336","Schweizer","269C-1","HELI","71J","Ozark-Blackwell Field","FALSE","1","","INST","091","Destroyed","VMC","Eagle Aviation Academy LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101340","6/30/2022 7:00:00 PM",
"CEN20LA167","ACC","101226","2020-05-02T02:03:00Z","HOUSTON","Texas","United States","","N8375F","FALSE","DirectorBrief","2022-10-05T04:00:00Z","Fatal","1","1","0","An uncommanded right yaw that occurred for reasons that could not be determined based on the available evidence, which resulted in a loss control.","","29.947221","-95.395835","MD HELICOPTER","369","HELI","","","FALSE","1","","PUBL","PUBU","Substantial","VMC","City Of Houston","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101226","3/4/2022 5:00:00 PM",
"WPR20LA130","ACC","101204","2020-04-24T16:00:00Z","Mesa","Arizona","United States","","N3276T","FALSE","DirectorBrief","2022-05-03T04:00:00Z","Fatal","1","1","0","An in-flight separation of the tail rotor gearbox from the airframe due to fatigue failure of the gearbox attachment studs, resulting in a loss of directional control and subsequent ground impact. Contributing to the accident were 1) the improper application of paint on the clamping surfaces between the tail rotor gearbox and the vertical stabilizer that led to the initiation of fatigue fractures on the gearbox attachment studs and 2) the lack of a requirement to check the torque of the gearbox attachment hardware after installation of a gearbox onto the airframe.","","33.386112","-111.805831","Bell","UH 1H","HELI","","","FALSE","1","","POSI","091","Substantial","VMC","Southwest Rotors","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101204","4/19/2022 2:00:00 PM",
"CEN20LA136","ACC","101136","2020-03-31T16:26:00Z","Audubon","Iowa","United States","","N107EH","FALSE","DirectorBrief","2022-03-11T05:00:00Z","Fatal","2","0","0","The pilot’s failure to recognize and avoid the power line during the low-altitude flight. Contributing to the accident was the pilot’s fatigue, which affected the pilot’s ability to see and avoid the power line.","","41.659911","-94.763558","ROBINSON HELICOPTER COMPANY","R44 II","HELI","","","FALSE","1","","AOBV","091","Destroyed","VMC","Ride the Sky Helicopters","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101136","2/9/2022 5:00:00 AM",
"CEN20FA098","ACC","100982","2020-02-24T00:08:00Z","North Manchester","Indiana","United States","","N840GS","FALSE","DirectorBrief","2022-03-11T05:00:00Z","Fatal","1","0","0","The pilot’s loss of control for reasons that could not be determined based on the available information.","","40.998054","-85.825553","INNOVATOR","Mosquitto","HELI","N/A","Private","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100982","11/18/2021 5:00:00 AM",
"DCA20MA059","ACC","100863","2020-01-26T10:45:00Z","Calabasas","California","United States","AAR2101","N72EX","TRUE","Report","2021-03-02T05:00:00Z","Fatal","9","0","0","The pilot’s decision to continue flight under visual flight rules into instrument meteorological conditions, which resulted in the pilot’s spatial disorientation and loss of control. Contributing to the accident was the pilot’s likely self-induced pressure and the pilot’s plan continuation bias, which adversely affected his decision-making, and Island Express Helicopters Inc.’s inadequate review and oversight of its safety management processes.","","34.110691","-118.67092","Sikorsky","S76","HELI","","","FALSE","","NSCH","","135","Destroyed","IMC","Island Express","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100863","6/17/2020 6:00:00 PM",
"ERA20FA074","ACC","100796","2020-01-09T21:29:00Z","Mechanicsburg","Pennsylvania","United States","","N450MC","FALSE","DirectorBrief","2022-06-28T04:00:00Z","Fatal","2","0","0","A severe left roll excursion after the onset of pitch and roll oscillations, which were not arrested by the pilot for undetermined reasons. This resulted in main rotor blade contact with the airframe and a subsequent inflight breakup of the helicopter.","","40.227779","-77.020278","ROBINSON","R66","HELI","","","FALSE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100796","6/22/2022 7:00:00 PM",
"ANC20MA010","ACC","100736","2019-12-26T17:57:00Z","Kekaha","Hawaii","United States","AIR2205","N985SA","TRUE","Report","2022-06-01T04:00:00Z","Fatal","7","0","0","The pilot’s decision to continue flight under visual flight rules (VFR) into instrument meteorological conditions (IMC), which resulted in the collision into terrain. Contributing to the accident was Safari Aviation Inc.’s lack of safety management processes to identify hazards and mitigate the risks associated with factors that influence pilots to continue VFR flight into IMC. Also contributing to the accident was the Federal Aviation Administration’s delayed implementation of a Hawaii aviation weather camera program, its lack of leadership in the development of a cue-based weather training program for Hawaii air tour pilots, and its ineffective monitoring and oversight of Hawaii air tour operators’ weather-related operating practices.","","22.161666","-159.62638","AIRBUS","AS350B2","HELI","","","FALSE","1","NSCH","","135","Destroyed","IMC","Safari Aviation Inc.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100736","12/15/2021 12:00:00 PM",
"ERA20FA056","ACC","100726","2019-12-25T18:13:00Z","Headland","Alabama","United States","","N663SF","FALSE","DirectorBrief","2022-04-18T04:00:00Z","Fatal","1","0","0","Pilot incapacitation by a sudden cardiac event related to severe coronary artery disease, which resulted in a loss of helicopter control.","","31.364166","-85.3125","Bell","407","HELI","0J6","Headland Municipal","FALSE","1","NSCH","","135","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100726","4/6/2022 4:00:00 AM",
"CEN20FA035","ACC","100671","2019-12-07T10:18:00Z","Gulf of Mexico","Gulf of Mexico","United States","","N79LP","FALSE","DirectorBrief","2021-10-15T04:00:00Z","Fatal","2","0","0","A total loss of engine power due to the failure of the engine’s Nos. 3 and 4 bearings and the power turbine pinion gear, and subsequent loss of main rotor rpm, which resulted in a loss of control and impact with the water.","","28.926708","-89.671936","Bell","407","HELI","","","FALSE","1","NSCH","","135","Destroyed","VMC","Panther Helicopters Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100671","8/26/2021 6:00:00 PM",
"WPR20FA016","ACC","100492","2019-10-25T15:41:00Z","Jordan Valley","Oregon","United States","","N280F","FALSE","DirectorBrief","2022-03-09T05:00:00Z","Fatal","1","1","0","A partial loss of engine power due to a worn engine air induction hose, and a subsequent uncontrolled descent into terrain. Contributing to the accident was the failure of maintenance personnel to adequately inspect the hose, and the pilot’s decision to fly the helicopter at a speed and altitude that provided limited time to enter and establish an autorotation following the loss of power.","","43.394721","-117.04694","Enstrom","280F","HELI","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100492","12/16/2021 12:00:00 PM",
"WPR20FA013","ACC","100481","2019-10-23T15:53:00Z","Las Vegas","Nevada","United States","","N225JM","FALSE","DirectorBrief","2023-01-24T05:00:00Z","Fatal","2","0","0","An undetermined inflight event that resulted in the pilot performing an autorotation to uneven terrain for reasons that could not be determined due to the extent of impact damage.","","36.146945","-115.381668","Robinson","R44","HELI","VGT","North Las Vegas","FALSE","1","","PERS","091","Substantial","VMC","Airwork Las Vegas","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100481","12/15/2022 12:00:00 PM",
